airport_id,icao,iata,name,lat,long,country,alt,utcoffset,tzolson
2560,SESD,,Santo Domingo de Los Colorados Airport,-0.24822199344635,-79.2144012451172,Ecuador,1714,-5,America/Guayaquil
2561,SETA,,Taura Airport,-2.2610399723053,-79.6801986694336,Ecuador,56,-5,America/Guayaquil
2562,SETE,,Mayor Galo Torres Airport,-0.986766993999481,-77.8195037841797,Ecuador,1708,-5,America/Guayaquil
2563,SETR,TPC,Tarapoa Airport,-0.122956000268459,-76.3377990722656,Ecuador,814,-5,America/Guayaquil
2564,SETU,TUA,Teniente Coronel Luis a Mantilla Airport,0.809505999088287,-77.7080993652344,Ecuador,9649,-5,America/Guayaquil
2565,SGAS,ASU,Silvio Pettirossi International Airport,-25.2399997711182,-57.5200004577637,Paraguay,292,-4,America/Asuncion
2566,SGAY,AYO,Juan De Ayolas Airport,-27.370554,-56.854064,Paraguay,223,-4,America/Asuncion
2567,SGCO,CIO,Teniente Col Carmelo Peralta Airport,-23.442363,-57.427253,Paraguay,253,-4,America/Asuncion
2568,SGIB,,Itaipú Airport,-25.407519,-54.619377,Paraguay,762,-4,America/Asuncion
2569,SGME,ESG,Dr. Luis Maria Argaña International Airport,-22.0499992370605,-60.6199989318848,Paraguay,553,-4,America/Asuncion
2570,SGPI,PIL,Carlos Miguel Gimenez Airport,-26.881224,-58.318026,Paraguay,249,-4,America/Asuncion
2571,SKAR,AXM,El Eden Airport,4.45278,-75.7664,Colombia,3990,-5,America/Bogota
2572,SKAS,PUU,Tres De Mayo Airport,0.505228,-76.5008,Colombia,815,-5,America/Bogota
2573,SKBC,ELB,Las Flores Airport,9.04554,-73.9749,Colombia,111,-5,America/Bogota
2574,SKBG,BGA,Palonegro Airport,7.1265,-73.1848,Colombia,3897,-5,America/Bogota
2575,SKBO,BOG,El Dorado International Airport,4.70159,-74.1469,Colombia,8361,-5,America/Bogota
2576,SKBQ,BAQ,Ernesto Cortissoz International Airport,10.8896,-74.7808,Colombia,98,-5,America/Bogota
